"subject","Exp1-unswitch","Exp1-switch","Exp2-unswitch","Exp2-switch"
"1",1.63829787234043,2.0952380952381,1.625,1.67857142857143
"2",1.47826086956522,1.76666666666667,1.81818181818182,1.6969696969697
"3",1.91304347826087,2.24242424242424,1.78048780487805,2.25925925925926
"4",1.59259259259259,1.65454545454545,1.91111111111111,1.72093023255814
"5",2.16666666666667,2.03448275862069,2.03571428571429,2.23076923076923
"6",2.21052631578947,2.4375,2.13793103448276,2.2
"7",1.75555555555556,1.95454545454545,1.90196078431373,1.91304347826087
"8",2.4,2.22535211267606,2.26829268292683,1.68965517241379
"10",2.2,2.13432835820896,2.03703703703704,2.18518518518519
"11",1.71428571428571,1.73846153846154,1.66666666666667,1.98039215686275
"12",1.87179487179487,2.25,1.71428571428571,2.04878048780488
"13",1.25,1.57333333333333,1,1.34939759036145
"14",1.82222222222222,2.08333333333333,1.96610169491525,1.80952380952381
"15",2,2.25396825396825,1.80434782608696,1.93939393939394
"17",1.77777777777778,1.8448275862069,1.72222222222222,1.96875
"18",2,2.16363636363636,1.68571428571429,1.88
"19",1.81818181818182,1.81632653061224,1.47727272727273,1.66666666666667
"20",2.33333333333333,2.21428571428571,1.91428571428571,1.80357142857143
"22",2.28571428571429,1.91666666666667,1.32142857142857,1.52083333333333
