** CONVERTED FROM C:\Users\NTT\Desktop\exe\80_4mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:19 2021
** DATE: Thu Dec 19 05:45:40 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	827367	127
INPUT	858178	127
MSG	858789 RECCFG P 1000 2 1 R
MSG	858789 ELCLCFG BTABLER
MSG	858789 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	858789 THRESHOLDS R 80 210
MSG	858789 ELCL_WINDOW_SIZES 176 188 0 0
MSG	858789 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	858789 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	858789 ELCL_PROC CENTROID (3)
MSG	858789 ELCL_PCR_PARAM 5 3.0
START	858790 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
INPUT	858790	127
MSG	858790 !MODE RECORD P 1000 2 1 R
858790	  623.8	 1463.4	 2895.0	.
858791	  623.8	 1463.4	 2895.0	.
858792	  623.8	 1463.4	 2895.0	.
858793	  623.8	 1463.4	 2895.0	.
858794	  623.9	 1463.4	 2895.0	.
858795	  623.9	 1463.4	 2895.0	.
858796	  624.0	 1463.4	 2895.0	.
SFIX R   858797
858797	  624.0	 1463.4	 2894.0	.
858798	  624.0	 1463.4	 2893.0	.
858799	  624.0	 1463.4	 2893.0	.
858800	  624.0	 1463.3	 2893.0	.
858801	  624.1	 1463.3	 2893.0	.
858802	  624.1	 1463.4	 2894.0	.
858803	  624.1	 1463.4	 2894.0	.
858804	  624.2	 1463.4	 2894.0	.
858805	  624.1	 1463.4	 2894.0	.
858806	  624.2	 1463.4	 2894.0	.
858807	  624.2	 1463.4	 2893.0	.
858808	  624.3	 1463.4	 2893.0	.
858809	  624.3	 1463.3	 2893.0	.
858810	  624.3	 1463.3	 2892.0	.
858811	  624.3	 1463.3	 2890.0	.
858812	  624.3	 1463.3	 2888.0	.
858813	  624.4	 1463.3	 2889.0	.
858814	  624.3	 1463.2	 2890.0	.
858815	  624.3	 1463.1	 2892.0	.
858816	  624.3	 1463.0	 2893.0	.
858817	  624.3	 1462.9	 2895.0	.
858818	  624.2	 1462.9	 2896.0	.
858819	  624.2	 1462.9	 2894.0	.
858820	  624.2	 1462.8	 2892.0	.
858821	  624.1	 1462.8	 2892.0	.
858822	  624.1	 1462.8	 2892.0	.
858823	  624.1	 1462.7	 2892.0	.
858824	  624.2	 1462.7	 2893.0	.
