** CONVERTED FROM C:\Users\NTT\Desktop\exe\120_5mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:19 2021
** DATE: Thu Dec 19 05:49:07 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	1037545	127
MSG	1038398 RECCFG P 1000 2 1 R
MSG	1038398 ELCLCFG BTABLER
MSG	1038398 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	1038398 THRESHOLDS R 120 210
MSG	1038398 ELCL_WINDOW_SIZES 176 188 0 0
MSG	1038398 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	1038398 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	1038398 ELCL_PROC CENTROID (3)
MSG	1038398 ELCL_PCR_PARAM 5 3.0
START	1038399 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
INPUT	1038399	127
MSG	1038399 !MODE RECORD P 1000 2 1 R
1038399	  -12.6	 1325.4	 2918.0	.
1038400	  -12.6	 1325.2	 2919.0	.
1038401	  -12.6	 1324.9	 2920.0	.
1038402	  -12.6	 1324.7	 2920.0	.
1038403	  -12.6	 1324.5	 2920.0	.
1038404	  -12.5	 1324.5	 2920.0	.
1038405	  -12.5	 1324.4	 2919.0	.
SFIX R   1038406
1038406	  -12.4	 1324.4	 2919.0	.
1038407	  -12.4	 1324.3	 2919.0	.
1038408	  -12.4	 1324.2	 2919.0	.
1038409	  -12.4	 1324.1	 2920.0	.
1038410	  -12.4	 1324.1	 2921.0	.
1038411	  -12.3	 1324.1	 2921.0	.
1038412	  -12.2	 1324.1	 2921.0	.
1038413	  -12.1	 1324.2	 2920.0	.
1038414	  -12.0	 1324.3	 2918.0	.
1038415	  -12.0	 1324.3	 2918.0	.
1038416	  -11.9	 1324.4	 2918.0	.
1038417	  -11.8	 1324.6	 2918.0	.
1038418	  -11.6	 1324.7	 2919.0	.
1038419	  -11.4	 1324.8	 2919.0	.
1038420	  -11.2	 1324.9	 2919.0	.
1038421	  -11.1	 1325.0	 2919.0	.
1038422	  -11.0	 1325.2	 2919.0	.
1038423	  -11.0	 1325.3	 2919.0	.
1038424	  -10.9	 1325.4	 2918.0	.
1038425	  -10.7	 1325.5	 2918.0	.
1038426	  -10.6	 1325.5	 2918.0	.
1038427	  -10.5	 1325.6	 2918.0	.
1038428	  -10.4	 1325.6	 2918.0	.
1038429	  -10.3	 1325.6	 2919.0	.
1038430	  -10.2	 1325.6	 2918.0	.
