** CONVERTED FROM C:\Users\admin\Desktop\suzuki\exe\120_3mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Wed Oct 07 16:34:53 2020
** DATE: Wed Oct  7 15:57:57 2020
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

MSG	456703 RECCFG P 1000 2 1 R
MSG	456703 ELCLCFG BTABLER
MSG	456703 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	456703 THRESHOLDS R 120 242
MSG	456703 ELCL_WINDOW_SIZES 176 188 0 0
MSG	456703 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	456703 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	456703 ELCL_PROC CENTROID (3)
MSG	456703 ELCL_PCR_PARAM 5 3.0
START	456704 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
MSG	456704 !MODE RECORD P 1000 2 1 R
456704	-3270.0	 -784.9	 2887.0	.
INPUT	456704	127
456705	-3270.0	 -784.9	 2886.0	.
456706	-3270.0	 -784.9	 2888.0	.
456707	-3270.0	 -784.9	 2891.0	.
456708	-3270.0	 -784.9	 2891.0	.
456709	-3270.0	 -784.9	 2891.0	.
456710	-3270.0	 -784.9	 2891.0	.
SFIX R   456711
456711	-3270.0	 -785.0	 2891.0	.
456712	-3270.0	 -785.0	 2889.0	.
456713	-3270.0	 -785.0	 2888.0	.
456714	-3270.0	 -785.1	 2886.0	.
456715	-3270.0	 -785.1	 2886.0	.
456716	-3270.0	 -785.2	 2887.0	.
456717	-3270.0	 -785.2	 2888.0	.
456718	-3270.0	 -785.1	 2889.0	.
456719	-3270.0	 -785.1	 2887.0	.
456720	-3270.0	 -785.0	 2886.0	.
456721	-3270.0	 -785.1	 2885.0	.
456722	-3270.0	 -785.1	 2885.0	.
456723	-3270.0	 -785.1	 2885.0	.
456724	-3270.0	 -785.1	 2888.0	.
456725	-3270.0	 -785.1	 2892.0	.
456726	-3270.0	 -785.2	 2894.0	.
456727	-3270.0	 -785.2	 2892.0	.
456728	-3270.0	 -785.2	 2888.0	.
456729	-3270.0	 -785.1	 2885.0	.
456730	-3270.0	 -785.1	 2882.0	.
456731	-3270.0	 -785.1	 2879.0	.
456732	-3270.0	 -785.0	 2877.0	.
456733	-3270.0	 -785.0	 2877.0	.
456734	-3270.0	 -785.0	 2880.0	.
456735	-3270.0	 -785.1	 2884.0	.
456736	-3270.0	 -785.1	 2886.0	.
456737	-3270.0	 -785.1	 2887.0	.
